  R133	H	+ C2H3O		= CHO	+ CH3		2.692801e+07
  R134	H	+ C2H3O		= C2H2O	+ H2		1.468800e+07
  R141	H	+ C2H5		= C2H4	+ H2		1.423550e+07
  R130	H	+ C2H2O		= CO	+ CH3		1.142937e+07
  R147	H	+ CH2O		= CH3O			1.117167e+07
  R576	HSO	+ H		= H2	+ SO		1.029515e+07
  M10	H	+ CHO		= CH2O			6.867500e+06
  R154	H	+ CH3O		= CH2O	+ H2		3.943718e+06
  R159	H	+ CH4O		= CH3O	+ H2		2.207444e+06
  R172	H	+ HNO		= H2	+ NO		2.014807e+06
  R142	H	+ C2H5O		= C2H4O	+ H2		1.864783e+06
  M51	H	+ SO		= HSO			9.383229e+05
  R641	N2H3	+ H		= NH2	+ NH2		5.142889e+05
  R157	H	+ CH4		= CH3	+ H2		4.919126e+05
  R138	H	+ C2H4O		= CH4	+ CHO		4.182284e+05
  R639	N2H4	+ H		= N2H3	+ H2		3.315135e+05
  R137	H	+ C2H4O		= C2H3O	+ H2		2.571330e+05
  M14	H	+ NH2		= NH3			1.575261e+05
  M16	H	+ O		= OH			1.543033e+05
  M18	H	+ OH		= H2O			1.311464e+05
  R143	H	+ C2H6		= C2H5	+ H2		8.097078e+04
  R180	H	+ HO2		= OH	+ OH		3.560644e+04
  M58	H	+ C2H5		= C2H6			1.957942e+04
  M48	SO2	+ H		= HSO2			1.692518e+04
  M15	H	+ NO		= HNO			1.074255e+04
  M56	H	+ CH2		= CH3			5.236450e+03
  R189	H	+ NO2		= OH	+ NO		4.998979e+03
  R182	H	+ HO2		= H2	+ O2		3.412284e+03
  M17	H	+ O2		= HO2			2.102836e+03
  R181	H	+ HO2		= O	+ H2O		7.912541e+02
  R567	HSO3	+ H		= H2	+ SO3		1.108860e+02
  R136	H	+ C2H4O		= C2H5O			7.946357e+01
  R554	SO3	+ H		= OH	+ SO2		5.175410e+00
  R186	H	+ NH3		= H2	+ NH2		3.639366e+00
  R166	H	+ H2O		= H2	+ OH		2.409537e+00
  M23	N	+ H		= NH			2.330563e+00
  R150	H	+ CH3NO2	= CH4O	+ NO		9.729818e-01
  R167	H	+ H2O2		= OH	+ H2O		4.717292e-01
  R192	H	+ O3		= OH	+ O2		3.475386e-01
  R171	H	+ HCNO		= CO	+ NH2		1.595951e-01
  R163	H	+ CNO		= CO	+ NH		1.163715e-01
  R190	H	+ NO3		= OH	+ NO2		9.838919e-02
  R168	H	+ H2O2		= H2	+ HO2		4.619465e-02
  M11	H	+ CN		= HCN			1.023322e-02
  R155	H	+ CH3O2		= CH3O	+ OH		6.358376e-03
  R135	H	+ C2H4		= C2H3	+ H2		3.368332e-04
  R175	H	+ HNO2		= OH	+ HNO		6.378770e-06
  R177	H	+ HNO2		= H2O	+ NO		4.891055e-06
  R165	H	+ CO2		= CO	+ OH		2.517681e-06
  R149	H	+ CH3		= CH2	+ H2		1.306257e-06
  R161	H	+ CH4O2		= H2	+ CH3O2		1.216987e-07
  R160	H	+ CH4O2		= CH3O	+ H2O		1.008599e-07
  R176	H	+ HNO2		= H2	+ NO2		1.410700e-08
  R164	H	+ CNO		= HCN	+ O		5.086530e-10
  R173	H	+ HNO		= OH	+ NH		2.940602e-10
  R169	H	+ HCNO		= H2	+ CNO		1.016112e-10
  R129	H	+ C2H2		= C2H	+ H2		1.350990e-13
  R178	H	+ HNO3		= H2O	+ NO2		8.250273e-14
  R174	H	+ HNO		= NH2	+ O		5.067663e-19
  R183	H	+ N2O		= NO	+ NH		2.652186e-19
  R179	H	+ HNO3		= H2	+ NO3		2.018591e-23
  R156	H	+ CH3O2		= CH4	+ O2		1.201817e-25
  R128	H	+ C2H		= H2	+ C2		4.812905e-28
  R188	H	+ NO		= OH	+ N		2.391735e-36
  R187	H	+ NO		= NH	+ O		3.704137e-51
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

CHO				PRODUCTION RXS		INT RX RATE	TP = 3.40e+10

  M12	H	+ CO		= CHO			2.996727e+10
  P20	CH2O			= CHO	+ H		2.532259e+09
  R272	HS	+ CH2O		= H2S	+ CHO		1.386150e+09
  R148	H	+ CH2O		= H2	+ CHO		7.607216e+07
  R133	H	+ C2H3O		= CHO	+ CH3		2.692801e+07
  R413	O	+ CH2O		= CHO	+ OH		2.033537e+07
  R398	O	+ C2H4		= CH3	+ CHO		1.428767e+07
  R493	OH	+ CH2O		= CHO	+ H2O		1.111731e+07
  R111	CHO	+ C2H4O		= CH4	+ CO	+ CHO	1.500910e+06
  P22	C2H4O			= CHO	+ CH3		9.073893e+05
  R138	H	+ C2H4O		= CH4	+ CHO		4.182284e+05
  R547	SO2	+ CH		= CHO	+ SO		1.443397e+03
  R79	CH3O	+ CH2O		= CH4O	+ CHO		1.314308e+02
  R66	CH3	+ CH2O		= CH4	+ CHO		2.238710e+00
  R55	CH2O	+ CN		= HCN	+ CHO		1.957349e+00
  R56	CH2O	+ CNO		= HCNO	+ CHO		8.084535e-02
  R474	OCS	+ CH		= CHO	+ CS		2.822243e-02
  R338	NO	+ CH		= N	+ CHO		3.633462e-03
  R53	CH2O	+ C2H5		= C2H6	+ CHO		2.230431e-03
  R51	CH2O	+ C2H3		= C2H4	+ CHO		3.829546e-04
  R52	CH2O	+ C2H3O		= C2H4O	+ CHO		1.093271e-07
  P27	CH2O2			= CHO	+ OH		2.444425e-08
  R252	HO2	+ CH2O		= CHO	+ H2O2		1.228004e-08
  R361	NO2	+ C2HO		= CO	+ CHO	+ NO	1.060575e-09
  R362	NO2	+ CH		= CHO	+ NO		5.658213e-10
  R54	CH2O	+ CH3O2		= CHO	+ CH4O2		9.078620e-23
  T33	C2H4O			= CHO	+ CH3		1.758043e-36
  R121	CO	+ C2H4		= C2H3	+ CHO		2.682787e-53
  R120	CO	+ C2H2		= C2H	+ CHO		5.141416e-77

CHO				LOSS RXS		INT RX RATE	TL = 3.40e+10

  T46	CHO			= CO	+ H		1.193223e+10
  R561	CHO	+ CHO		= CH2O	+ CO		8.982263e+09 (x2)
  R162	H	+ CHO		= CO	+ H2		1.476240e+09
  R267	HS	+ CHO		= H2S	+ CO		7.338333e+08
  R543	SO	+ CHO		= HSO	+ CO		5.487404e+08
  R426	O	+ CHO		= CO	+ OH		4.811718e+08
  R427	O	+ CHO		= CO2	+ H		4.811718e+08
  R569	S	+ CHO		= HS	+ CO		2.417332e+08
  R348	NO	+ CHO		= CO	+ HNO		1.575288e+08
  M10	H	+ CHO		= CH2O			6.867500e+06
  R71	CH3	+ CHO		= CH4	+ CO		4.806248e+06
  R114	CHO	+ CH3O		= CH2O	+ CH2O		3.074964e+06
  R113	CHO	+ CH3O		= CH4O	+ CO		1.537482e+06
  R111	CHO	+ C2H4O		= CH4	+ CO	+ CHO	1.500910e+06
  R70	CH3	+ CHO		= C2H4O			7.209373e+05
  R206	H2	+ CHO		= CH2O	+ H		5.970348e+05
  R112	CHO	+ C2H5		= C2H6	+ CO		3.048147e+05
  R109	CHO	+ C2H3		= C2H4	+ CO		1.387428e+05
  R237	HNO	+ CHO		= CH2O	+ NO		1.200481e+05
  R118	CHO	+ O2		= CO	+ HO2		1.122902e+05
  R110	CHO	+ C2H3O		= C2H4O	+ CO		9.637303e+04
  R369	NO2	+ CHO		= NO	+ CO	+ OH	4.680427e+04
  R504	OH	+ CHO		= CO	+ H2O		3.437983e+04
  R368	NO2	+ CHO		= NO	+ CHO2		3.170989e+04
  R370	NO2	+ CHO		= NO	+ CO2	+ H	1.150783e+03
  R50	CH2	+ CHO		= CO	+ CH3		8.446708e+01
  R108	CHO	+ C2H		= C2H2	+ CO		1.432167e+01
  R98	CH4	+ CHO		= CH2O	+ CH3		1.303146e-02
  R117	CHO	+ CNO		= HCNO	+ CO		9.861767e-04
  R115	CHO	+ CH4O		= CH2O	+ CH3O		9.793162e-05
  R116	CHO	+ CN		= HCN	+ CO		5.561906e-05
  R227	H2O2	+ CHO		= CH2O	+ HO2		1.458646e-08
  R568	NO2	+ CHO		= CO	+ HNO2		6.236505e-13

************************************************************

CO				PRODUCTION RXS		INT RX RATE	TP = 3.29e+10

  T46	CHO			= CO	+ H		1.193223e+10
  R561	CHO	+ CHO		= CH2O	+ CO		8.982263e+09
  P21	CH2O			= CO	+ H2		4.366394e+09
  P36	CO2			= CO	+ O		3.072274e+09
  R162	H	+ CHO		= CO	+ H2		1.476240e+09
  P37	CO2			= CO	+ O(1D)		7.439095e+08
  R267	HS	+ CHO		= H2S	+ CO		7.338333e+08
  R543	SO	+ CHO		= HSO	+ CO		5.487404e+08
  R426	O	+ CHO		= CO	+ OH		4.811718e+08
  R569	S	+ CHO		= HS	+ CO		2.417332e+08
  R348	NO	+ CHO		= CO	+ HNO		1.575288e+08
  R416	O	+ CH3		= CO	+ H2	+ H	5.298655e+07
  R200	H2	+ C2HO		= CH3	+ CO		2.526358e+07
  R130	H	+ C2H2O		= CO	+ CH3		1.142937e+07
  R572	S	+ CO2		= SO	+ CO		6.172577e+06
  R71	CH3	+ CHO		= CH4	+ CO		4.806248e+06
  R123	CO2	+ CH2		= CH2O	+ CO		4.583945e+06
  R391	O	+ C2H2		= CO	+ CH2		3.564389e+06
  R483	OH	+ C2H2O		= CO	+ CH3O		3.167402e+06
  R113	CHO	+ CH3O		= CH4O	+ CO		1.537482e+06
  R111	CHO	+ C2H4O		= CH4	+ CO	+ CHO	1.500910e+06
  T32	C2H3O			= CO	+ CH3		9.407661e+05
  R8	C	+ SO2		= CO	+ SO		8.707519e+05
  R35	CH2	+ C2H2O		= C2H4	+ CO		5.559227e+05
  R112	CHO	+ C2H5		= C2H6	+ CO		3.048147e+05
  R60	CH3	+ C2H3O		= C2H6	+ CO		2.841727e+05
  R6	C	+ O2		= CO	+ O		2.023009e+05
  P23	C2H4O			= CO	+ CH4		1.636904e+05
  R109	CHO	+ C2H3		= C2H4	+ CO		1.387428e+05
  R118	CHO	+ O2		= CO	+ HO2		1.122902e+05
  R110	CHO	+ C2H3O		= C2H4O	+ CO		9.637303e+04
  R482	OH	+ C2H2		= CO	+ CH3		6.186775e+04
  R369	NO2	+ CHO		= NO	+ CO	+ OH	4.680427e+04
  R504	OH	+ CHO		= CO	+ H2O		3.437983e+04
  R477	OH	+ C2H		= CO	+ CH2		1.219757e+04
  R408	O	+ CH		= CO	+ H		5.623475e+03
  R411	O	+ CH2		= CO	+ H	+ H	4.997101e+03
  R412	O	+ CH2		= CO	+ H2		3.039903e+03
  R389	O	+ C2H		= CO	+ CH		7.637932e+02
  R50	CH2	+ CHO		= CO	+ CH3		8.446708e+01
  R108	CHO	+ C2H		= C2H2	+ CO		1.432167e+01
  R546	SO2	+ C2H		= CO	+ OCS	+ H	6.965941e+00
  R125	CS	+ O		= CO	+ S		6.280810e+00
  R7	C	+ OCS		= CO	+ CS		6.252587e+00
  R296	N2O	+ C		= CO	+ N2		3.799966e+00
  R331	NO	+ C		= CO	+ N		2.638312e+00
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	6.705296e-01
  P31	OCS			= CO	+ S		6.233907e-01
  R171	H	+ HCNO		= CO	+ NH2		1.595951e-01
  R163	H	+ CNO		= CO	+ NH		1.163715e-01
  R336	NO	+ C2HO		= CO	+ HCNO		7.760568e-02
  R340	NO	+ CH		= CO	+ NH		6.829815e-02
  R538	S	+ OCS		= CO	+ S2		6.140055e-02
  R436	O	+ HCN		= CO	+ NH		3.695075e-02
  T48	CHO2			= CO	+ OH		2.650932e-02
  R333	NO	+ C2H		= HCN	+ CO		1.066584e-02
  R430	O	+ CN		= CO	+ N		1.685740e-03
  R117	CHO	+ CNO		= HCNO	+ CO		9.861767e-04
  R431	O	+ CNO		= CO	+ NO		8.470244e-04
  R475	OCS	+ O		= CO	+ SO		3.261905e-04
  R350	NO	+ CNO		= CO	+ N2O		7.674654e-05
  R116	CHO	+ CN		= HCN	+ CO		5.561906e-05
  R352	NO	+ CNO		= CO	+ N2	+ O	4.584283e-05
  R330	NH3	+ CNO		= CO	+ N2H3		7.473455e-06
  R165	H	+ CO2		= CO	+ OH		2.517681e-06
  R467	O(1D)	+ OCS		= CO	+ SO		2.343455e-06
  P29	CH2O2			= H2O	+ CO		5.238054e-09
  R361	NO2	+ C2HO		= CO	+ CHO	+ NO	1.060575e-09
  R375	NO2	+ CNO		= CO	+ NO	+ NO	3.133130e-10
  R355	NO2	+ C		= CO	+ NO		2.526027e-10
  R515	OH	+ HCN		= CO	+ NH2		7.300687e-12
  R372	NO2	+ CN		= CO	+ N2O		1.504898e-12
  R568	NO2	+ CHO		= CO	+ HNO2		6.236505e-13
  R421	O3	+ C2H2		= CO	+ CH2O2		8.278954e-16
  T16	CH2O2			= CO	+ H2O		6.378254e-23
  T30	C2H2O			= CO	+ CH2		4.639406e-25
  T14	CH2O			= CO	+ H2		6.707315e-26
  T40	CNO			= CO	+ N		1.216535e-29
  R124	CO2	+ CN		= CNO	+ CO		6.045365e-31
  T60	OCS			= CO	+ S		4.501196e-33
  T35	C2H4O			= CH4	+ CO		3.356687e-41
  T29	C2HO			= CO	+ CH		2.127770e-43

CO				LOSS RXS		INT RX RATE	TL = 3.27e+10

  M12	H	+ CO		= CHO			2.996727e+10
  R511	OH	+ CO		= CO2	+ H		2.337600e+09
  M31	O	+ CO		= CO2			2.202783e+08
  M39	OH	+ CO		= CHO2			1.337169e+08
  P35	CO			= C	+ O		7.915832e+07
  M6	CO	+ CH3		= C2H3O			9.775170e+05
  M5	CO	+ CH		= C2HO			4.311492e+04
  R122	CO	+ CH3		= C2H2	+ OH		2.815208e-33
  R121	CO	+ C2H4		= C2H3	+ CHO		2.682787e-53
  R120	CO	+ C2H2		= C2H	+ CHO		5.141416e-77
  R88	CH3S	+ CO		= OCS	+ CH3		0.000000e+00

************************************************************

H2				PRODUCTION RXS		INT RX RATE	TP = 1.86e+10

  R146	H	+ CH2		= CH	+ H2		6.374772e+09
  P21	CH2O			= CO	+ H2		4.366394e+09
  R145	H	+ CH		= C	+ H2		2.971152e+09
  P33	CH4			= CH21	+ H2		1.575731e+09
  R162	H	+ CHO		= CO	+ H2		1.476240e+09
  M13	H	+ H		= H2			6.111792e+08
  R596	CH21	+ H2		= CH2	+ H2		1.971703e+08
  P34	CH4			= CH	+ H2	+ H	1.783846e+08
  P58	C2H4			= C2H2	+ H2		1.609296e+08
  P67	N2H2			= N2	+ H2		1.004544e+08
  P64	C2H6			= C2H2	+ H2	+ H2	8.272812e+07 (x2)
  R148	H	+ CH2O		= H2	+ CHO		7.607216e+07
  R230	H2S	+ H		= H2	+ HS		5.931520e+07
  R416	O	+ CH3		= CO	+ H2	+ H	5.298655e+07
  R132	H	+ C2H3		= C2H2	+ H2		4.778729e+07
  R560	HS	+ H		= H2	+ S		4.654174e+07
  R481	OH	+ C2H2		= C2HO	+ H2		4.626554e+07
  P62	C2H6			= C2H4	+ H2		4.289606e+07
  R134	H	+ C2H3O		= C2H2O	+ H2		1.468800e+07
  R141	H	+ C2H5		= C2H4	+ H2		1.423550e+07
  R576	HSO	+ H		= H2	+ SO		1.029515e+07
  R154	H	+ CH3O		= CH2O	+ H2		3.943718e+06
  R159	H	+ CH4O		= CH3O	+ H2		2.207444e+06
  P69	CH5N			= HCN	+ H2	+ H2	2.202004e+06 (x2)
  R324	NH2	+ O		= H2	+ NO		2.193706e+06
  R172	H	+ HNO		= H2	+ NO		2.014807e+06
  R142	H	+ C2H5O		= C2H4O	+ H2		1.864783e+06
  R399	O	+ C2H4		= C2H2O	+ H2		9.006317e+05
  R157	H	+ CH4		= CH3	+ H2		4.919126e+05
  R639	N2H4	+ H		= N2H3	+ H2		3.315135e+05
  R137	H	+ C2H4O		= C2H3O	+ H2		2.571330e+05
  R143	H	+ C2H6		= C2H5	+ H2		8.097078e+04
  R182	H	+ HO2		= H2	+ O2		3.412284e+03
  R412	O	+ CH2		= CO	+ H2		3.039903e+03
  R451	O(1D)	+ CH4		= CH2O	+ H2		3.020651e+03
  R282	N	+ CH3		= H2	+ HCN		3.742610e+02
  R567	HSO3	+ H		= H2	+ SO3		1.108860e+02
  R186	H	+ NH3		= H2	+ NH2		3.639366e+00
  R166	H	+ H2O		= H2	+ OH		2.409537e+00
  R168	H	+ H2O2		= H2	+ HO2		4.619465e-02
  R327	NH3	+ CH		= HCN	+ H2	+ H	4.440157e-02
  P43	NH3			= NH	+ H2		1.910099e-02
  R135	H	+ C2H4		= C2H3	+ H2		3.368332e-04
  R149	H	+ CH3		= CH2	+ H2		1.306257e-06
  R95	CH4	+ CH3		= H2	+ C2H5		1.047969e-06
  R161	H	+ CH4O2		= H2	+ CH3O2		1.216987e-07
  R176	H	+ HNO2		= H2	+ NO2		1.410700e-08
  R169	H	+ HCNO		= H2	+ CNO		1.016112e-10
  R129	H	+ C2H2		= C2H	+ H2		1.350990e-13
  T58	H2S			= H2	+ S		6.533519e-23
  R179	H	+ HNO3		= H2	+ NO3		2.018591e-23
  T14	CH2O			= CO	+ H2		6.707315e-26
  R128	H	+ C2H		= H2	+ C2		4.812905e-28
  T26	C2H4			= C2H2	+ H2		1.630043e-33
  T15	CH2O2			= CO2	+ H2		1.194232e-33
  T21	CH4O			= CH2O	+ H2		1.659137e-39
  T34	C2H4O			= C2H2O	+ H2		7.690776e-41
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

H2				LOSS RXS		INT RX RATE	TL = 2.05e+10

  R195	H2	+ C2H		= C2H2	+ H		4.818494e+09
  R512	OH	+ H2		= H2O	+ H		3.350451e+09
  R202	H2	+ CH		= CH2	+ H		3.122359e+09
  M2	C	+ H2		= CH2			3.049237e+09
  R212	H2	+ NH2		= NH3	+ H		2.408929e+09
  R597	CH21	+ H2		= CH3	+ H		1.445915e+09
  R433	O	+ H2		= H	+ OH		1.110531e+09
  R455	O(1D)	+ H2		= H	+ OH		7.165067e+08
  M73	CH	+ H2		= CH3			2.474140e+08
  R596	CH21	+ H2		= CH2	+ H2		1.971703e+08
  R200	H2	+ C2HO		= CH3	+ CO		2.526358e+07
  R199	H2	+ C2HO		= C2H3O			2.105298e+07
  R203	H2	+ CH3		= CH4	+ H		6.830513e+05
  R206	H2	+ CHO		= CH2O	+ H		5.970348e+05
  M24	N	+ H2		= NH2			1.492076e+05
  R198	H2	+ C2H5		= C2H6	+ H		6.024075e+04
  R207	H2	+ CN		= HCN	+ H		1.966298e+02
  R197	H2	+ C2H3		= C2H4	+ H		1.293907e+02
  R204	H2	+ CH3O		= CH4O	+ H		1.495029e+01
  R3	C	+ H2		= CH	+ H		1.709336e-12
  R193	H2	+ C		= CH	+ H		1.709336e-12
  R209	H2	+ HO2		= H2O2	+ H		1.131943e-13
  R213	H2	+ NO2		= H	+ HNO2		2.177415e-14
  R205	H2	+ CH3O2		= CH4O2	+ H		5.117675e-21
  R196	H2	+ C2H2		= C2H4			5.618242e-27
  R10	H2	+ C2H4		= C2H5	+ H		1.271873e-34
  R41	H2	+ C2H2		= C2H3	+ H		2.389411e-45
  P38	H2			= H	+ H		0.000000e+00

************************************************************

C2H2				PRODUCTION RXS		INT RX RATE	TP = 9.66e+09

  R195	H2	+ C2H		= C2H2	+ H		4.818494e+09
  R127	H	+ C2H		= C2H2			4.338129e+09
  P59	C2H4			= C2H2	+ H	+ H	2.011620e+08
  P58	C2H4			= C2H2	+ H2		1.609296e+08
  P64	C2H6			= C2H2	+ H2	+ H2	8.272812e+07
  R132	H	+ C2H3		= C2H2	+ H2		4.778729e+07
  P57	C2H3			= C2H2	+ H		2.194520e+06
  R394	O	+ C2H3		= C2H2	+ OH		1.845098e+06
  R91	CH4	+ C2H		= C2H2	+ CH3		1.016864e+06
  R12	C2H	+ C2H6		= C2H2	+ C2H5		5.873624e+05
  R59	CH3	+ C2H3		= CH4	+ C2H2		4.995419e+05
  R14	C2H	+ CH4O		= C2H2	+ CH3O		8.976088e+04
  R478	OH	+ C2H		= C2H2	+ O		1.219757e+04
  R31	CH	+ CH		= C2H2			3.161513e+03
  R617	C2H3	+ C2H3		= C2H4	+ C2H2		2.111645e+03
  R22	C2H5	+ C2H3		= C2H6	+ C2H2		1.898849e+03
  R215	H2O	+ C2H		= C2H2	+ OH		3.457972e+02
  R486	OH	+ C2H3		= C2H2	+ H2O		2.247792e+02
  R34	CH2	+ C2H		= C2H2	+ CH		1.693926e+01
  R108	CHO	+ C2H		= C2H2	+ CO		1.432167e+01
  R36	CH2	+ C2H3		= C2H2	+ CH3		1.199625e+01
  R73	CH3O	+ C2H		= CH2O	+ C2H2		4.388602e+00
  R278	N	+ C2H3		= C2H2	+ NH		1.928729e+00
  R11	C2H	+ C2H5		= C2H4	+ C2H2		5.343807e-02
  R9	C2H	+ C2H3		= C2H2	+ C2H2		4.897673e-02 (x2)
  T31	C2H3O			= C2H2	+ OH		1.577110e-05
  T25	C2H3			= C2H2	+ H		8.569807e-21
  R122	CO	+ CH3		= C2H2	+ OH		2.815208e-33
  T26	C2H4			= C2H2	+ H2		1.630043e-33

C2H2				LOSS RXS		INT RX RATE	TL = 9.66e+09

  P56	C2H2			= C2H	+ H		9.158337e+09
  M7	H	+ C2H2		= C2H3			3.217152e+08
  R92	CH4	+ C2H2		= C2H3	+ CH3		1.205072e+08
  R481	OH	+ C2H2		= C2HO	+ H2		4.626554e+07
  R16	C2H2	+ C2H6		= C2H5	+ C2H3		4.976284e+06
